Prime_Minister,Start,End,Party
Arthur Balfour ,1902-07-12,1905-12-04,Conservative
Henry Campbell-Bannerman ,1905-12-05,1908-04-03,Liberal
H. H. Asquith ,1908-04-08,1916-12-05,Liberal
H. H. Asquith ,1908-04-08,1916-12-05,Liberal
H. H. Asquith ,1908-04-08,1916-12-05,Liberal
H. H. Asquith ,1908-04-08,1916-12-05,Liberal
David Lloyd George ,1916-12-06,1922-10-19,Liberal
David Lloyd George ,1916-12-06,1922-10-19,Liberal
Bonar Law ,1922-10-23,1923-05-20,Conservative (Scot.U.)
Stanley Baldwin ,1923-05-22,1924-01-22,Conservative
Ramsay MacDonald ,1924-01-22,1924-11-04,Labour
Stanley Baldwin ,1924-11-04,1929-06-04,Conservative
Ramsay MacDonald ,1929-06-05,1935-06-07,Labour
Ramsay MacDonald ,1929-06-05,1935-06-07,National Labour
Ramsay MacDonald ,1929-06-05,1935-06-07,National Labour
Stanley Baldwin ,1935-06-07,1937-05-28,Conservative
Stanley Baldwin ,1935-06-07,1937-05-28,Conservative
Stanley Baldwin ,1935-06-07,1937-05-28,Conservative
Neville Chamberlain ,1937-05-28,1940-05-10,Conservative
Neville Chamberlain ,1937-05-28,1940-05-10,Conservative
Winston Churchill ,1940-05-10,1945-07-26,Conservative
Winston Churchill ,1940-05-10,1945-07-26,Conservative
Clement Attlee ,1945-07-26,1951-10-26,Labour
Clement Attlee ,1945-07-26,1951-10-26,Labour
Winston Churchill ,1951-10-26,1955-04-05,Conservative
Winston Churchill ,1951-10-26,1955-04-05,Conservative
Anthony Eden ,1955-04-06,1957-01-09,Conservative
Harold Macmillan ,1957-01-10,1963-10-18,Conservative
Harold Macmillan ,1957-01-10,1963-10-18,Conservative
Alec Douglas-Home ,1963-10-18,1964-10-16,Conservative (Scot.U.)
Harold Wilson ,1964-10-16,1970-06-19,Labour
Harold Wilson ,1964-10-16,1970-06-19,Labour
Edward Heath ,1970-06-19,1974-03-04,Conservative
Harold Wilson ,1974-03-04,1976-04-05,Labour
Harold Wilson ,1974-03-04,1976-04-05,Labour
James Callaghan ,1976-04-05,1979-05-04,Labour
Margaret Thatcher ,1979-05-04,1990-11-28,Conservative
Margaret Thatcher ,1979-05-04,1990-11-28,Conservative
Margaret Thatcher ,1979-05-04,1990-11-28,Conservative
John Major ,1990-11-28,1997-05-02,Conservative
John Major ,1990-11-28,1997-05-02,Conservative
Tony Blair ,1997-05-02,2007-06-27,Labour
Tony Blair ,1997-05-02,2007-06-27,Labour
Tony Blair ,1997-05-02,2007-06-27,Labour
Gordon Brown ,2007-06-27,2010-05-11,Labour
David Cameron ,2010-05-11,2016-07-13,Conservative
David Cameron ,2010-05-11,2016-07-13,Conservative
Theresa May ,2016-07-13,2019-07-24,Conservative
Theresa May ,2016-07-13,2019-07-24,Conservative
Boris Johnson ,2019-07-24,2022-09-06,Conservative
Boris Johnson ,2019-07-24,2022-09-06,Conservative
Liz Truss ,2022-09-06,2022-10-25,Conservative
Liz Truss ,2022-09-06,2022-10-25,Conservative
Rishi Sunak ,2022-10-25,,Conservative
